x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
2.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0137, 0.6838, 0.0450, 1.2820, 0.0058, 0.2917
4.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0340, 0.8503, 0.1101, 2.7850, 0.0047, 0.1164
6.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0270, 0.4500, 0.1952, 2.4893, 0.0071, 0.1186
8.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0329, 0.4108, 0.3993, 3.1185, 0.0152, 0.1894
10.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0186, 0.1856, 0.1326, 1.0616, 0.0132, 0.1322
12.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0515, 0.4291, 0.4929, 3.8237, 0.0241, 0.2012
14.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0347, 0.2481, 0.7858, 3.1134, 0.0262, 0.1870
16.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0397, 0.2479, 0.3702, 1.4806, 0.0369, 0.2304
18.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0586, 0.3258, 0.5455, 3.9339, 0.0304, 0.1686
20.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0405, 0.2025, 0.5027, 1.9970, 0.0332, 0.1662
22.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0370, 0.1684, 0.3299, 1.9179, 0.0270, 0.1227
24.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0404, 0.1684, 1.0080, 2.9541, 0.0253, 0.1056
26.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0633, 0.2433, 0.6186, 1.5038, 0.0606, 0.2330
28.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0537, 0.1917, 0.6922, 1.4256, 0.0516, 0.1843
30.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0344, 0.1145, 1.0932, 2.2417, 0.0251, 0.0838
32.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0592, 0.1851, 1.0726, 2.1422, 0.0534, 0.1670
34.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0751, 0.2210, 1.8002, 3.4951, 0.0651, 0.1916
36.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0690, 0.1916, 2.0567, 3.3119, 0.0603, 0.1674
38.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1796, 0.4726, 2.0877, 11.7472, 0.0867, 0.2282
40.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1635, 0.4087, 2.0820, 10.3715, 0.0865, 0.2162
2.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0093, 0.4807, 0.0124, 0.5276, 0.0069, 0.3554
4.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0343, 0.8717, 0.0932, 1.4743, 0.0296, 0.7532
6.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0314, 0.5288, 0.0751, 1.4457, 0.0254, 0.4284
8.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0414, 0.5222, 0.1804, 1.5942, 0.0397, 0.4999
10.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0325, 0.3270, 0.2229, 1.6966, 0.0269, 0.2709
12.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0528, 0.4421, 0.3691, 1.9805, 0.0469, 0.3933
14.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0353, 0.2536, 0.1506, 1.3297, 0.0327, 0.2346
16.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0512, 0.3216, 0.2796, 1.4201, 0.0479, 0.3007
18.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0356, 0.1987, 0.6847, 2.2937, 0.0242, 0.1351
20.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0435, 0.2180, 0.4753, 2.7908, 0.0252, 0.1264
22.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0705, 0.3215, 1.3188, 4.1622, 0.0429, 0.1958
24.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1142, 0.4773, 2.0146, 8.4860, 0.0139, 0.0581
26.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1124, 0.4333, 1.9504, 7.7249, 0.0423, 0.1631
28.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1489, 0.5332, 3.0808, 10.9486, 0.0183, 0.0654
30.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1151, 0.3845, 1.3190, 5.4208, 0.0891, 0.2975
32.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.4599, 1.4402, 11.9253, 34.2802, 0.0493, 0.1542
34.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.3950, 1.1642, 10.8036, 29.3743, 0.0361, 0.1064
36.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.2167, 0.6031, 5.7454, 15.8418, 0.0371, 0.1031
38.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.3490, 0.9201, 10.3933, 25.2489, 0.0827, 0.2181
40.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.4015, 1.0053, 13.4181, 29.7326, 0.0532, 0.1332
