x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
4.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0212, 0.5379, 0.0577, 0.9229, 0.0171, 0.4341
4.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0212, 0.5379, 0.0577, 0.9229, 0.0171, 0.4341
6.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0306, 0.5153, 0.1300, 1.6642, 0.0207, 0.3482
8.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0357, 0.4502, 0.1294, 1.1143, 0.0324, 0.4080
10.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0277, 0.2784, 0.0502, 0.2124, 0.0275, 0.2769
12.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0362, 0.3033, 0.1006, 0.5062, 0.0355, 0.2978
14.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0339, 0.2432, 0.1614, 0.8312, 0.0320, 0.2294
16.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0498, 0.3128, 0.2154, 1.3875, 0.0462, 0.2897
18.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0273, 0.1520, 0.2398, 1.0801, 0.0230, 0.1283
20.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1285, 0.6447, 2.1042, 9.2217, 0.0308, 0.1545
22.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0643, 0.2932, 0.8482, 3.2624, 0.0467, 0.2131
24.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1232, 0.5147, 2.4771, 9.0208, 0.0167, 0.0696
26.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1185, 0.4568, 2.4233, 8.1638, 0.0428, 0.1649
28.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1573, 0.5632, 3.7302, 11.5907, 0.0136, 0.0486
30.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1196, 0.3994, 1.9501, 5.8057, 0.0901, 0.3009
32.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.4704, 1.4732, 12.8307, 34.9528, 0.0637, 0.1995
34.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.4067, 1.1985, 11.7602, 30.1637, 0.0479, 0.1413
36.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.2266, 0.6305, 6.8187, 16.4912, 0.0422, 0.1176
38.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.2998, 0.7902, 9.1643, 21.1426, 0.0937, 0.2470
40.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.4103, 1.0273, 13.9445, 30.4013, 0.0519, 0.1299
2.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0094, 0.4667, 0.0117, 0.6702, 0.0023, 0.1131
4.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0330, 0.8238, 0.0420, 2.4083, 0.0048, 0.1204
6.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0235, 0.3920, 0.0303, 1.6559, 0.0071, 0.1182
8.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0206, 0.2573, 0.0251, 1.2563, 0.0116, 0.1448
10.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0131, 0.1306, 0.0151, 0.7296, 0.0085, 0.0854
12.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0493, 0.4104, 0.0634, 3.1591, 0.0244, 0.2033
14.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0270, 0.1932, 0.0279, 0.3473, 0.0266, 0.1902
16.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0343, 0.2147, 0.0338, 0.4951, 0.0337, 0.2105
18.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0555, 0.3083, 0.0705, 3.4818, 0.0293, 0.1626
20.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0386, 0.1929, 0.0400, 1.4647, 0.0331, 0.1655
22.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0351, 0.1595, 0.0425, 1.7296, 0.0261, 0.1188
24.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0340, 0.1416, 0.0364, 1.7151, 0.0248, 0.1034
26.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0614, 0.2363, 0.0628, 0.7534, 0.0606, 0.2330
28.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0517, 0.1847, 0.0515, 0.2385, 0.0516, 0.1843
30.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0278, 0.0927, 0.0281, 0.8558, 0.0253, 0.0842
32.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0552, 0.1726, 0.0547, 1.0318, 0.0534, 0.1670
34.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0684, 0.2013, 0.0674, 1.6040, 0.0649, 0.1909
36.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0606, 0.1683, 0.0601, 0.3074, 0.0604, 0.1679
38.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1758, 0.4626, 0.2201, 11.3994, 0.0845, 0.2224
40.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1596, 0.3990, 0.1967, 10.0137, 0.0844, 0.2110
2.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0131, 0.6746, 0.0263, 0.7675, 0.0079, 0.4087
4.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0212, 0.5379, 0.0577, 0.9229, 0.0171, 0.4341
6.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0306, 0.5153, 0.1300, 1.6642, 0.0207, 0.3482
8.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0357, 0.4502, 0.1294, 1.1143, 0.0324, 0.4080
10.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0277, 0.2784, 0.0502, 0.2124, 0.0275, 0.2769
