x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
24.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1142, 0.4772, 2.0144, 8.4855, 0.0139, 0.0580
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
26.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1124, 0.4333, 1.9503, 7.7247, 0.0423, 0.1630
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
28.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1490, 0.5332, 3.0809, 10.9496, 0.0183, 0.0654
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
30.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1151, 0.3844, 1.3187, 5.4210, 0.0890, 0.2974
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
32.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.4600, 1.4404, 11.9263, 34.2843, 0.0492, 0.1541
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
34.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.3951, 1.1644, 10.8059, 29.3812, 0.0360, 0.1062
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
36.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.2167, 0.6032, 5.7460, 15.8445, 0.0370, 0.1030
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
38.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.3491, 0.9202, 10.3948, 25.2536, 0.0827, 0.2179
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
40.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.4015, 1.0055, 13.4198, 29.7383, 0.0531, 0.1330
