x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
2.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0137, 0.6835, 0.0450, 1.2821, 0.0058, 0.2901
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
4.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0340, 0.8503, 0.1100, 2.7851, 0.0046, 0.1156
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
6.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0270, 0.4501, 0.1951, 2.4895, 0.0071, 0.1185
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
8.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0328, 0.4102, 0.3995, 3.1182, 0.0151, 0.1884
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
10.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0185, 0.1853, 0.1326, 1.0592, 0.0132, 0.1321
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
12.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0515, 0.4294, 0.4931, 3.8255, 0.0242, 0.2015
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
14.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0347, 0.2481, 0.7858, 3.1131, 0.0262, 0.1870
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
16.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0397, 0.2480, 0.3701, 1.4803, 0.0369, 0.2306
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
18.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0587, 0.3260, 0.5454, 3.9357, 0.0304, 0.1687
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
20.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0405, 0.2026, 0.5027, 1.9964, 0.0333, 0.1663
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
22.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0371, 0.1685, 0.3299, 1.9191, 0.0270, 0.1228
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
24.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0405, 0.1686, 1.0080, 2.9561, 0.0254, 0.1058
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
26.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0633, 0.2433, 0.6185, 1.5041, 0.0606, 0.2329
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
28.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0537, 0.1917, 0.6921, 1.4253, 0.0516, 0.1843
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
30.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0344, 0.1146, 1.0931, 2.2416, 0.0251, 0.0838
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
32.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0592, 0.1851, 1.0725, 2.1421, 0.0535, 0.1671
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
34.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0752, 0.2211, 1.8001, 3.4954, 0.0652, 0.1917
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
36.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0690, 0.1916, 2.0566, 3.3118, 0.0603, 0.1674
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
38.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1795, 0.4724, 2.0877, 11.7436, 0.0867, 0.2281
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
40.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1634, 0.4085, 2.0821, 10.3680, 0.0864, 0.2161
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
2.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0093, 0.4780, 0.0124, 0.5277, 0.0068, 0.3518
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
4.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0342, 0.8700, 0.0930, 1.4735, 0.0296, 0.7513
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
6.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0313, 0.5283, 0.0750, 1.4454, 0.0254, 0.4278
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
8.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0414, 0.5213, 0.1803, 1.5937, 0.0396, 0.4990
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
10.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0324, 0.3257, 0.2232, 1.6981, 0.0267, 0.2692
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
12.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0527, 0.4418, 0.3690, 1.9805, 0.0469, 0.3928
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
14.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0353, 0.2530, 0.1509, 1.3307, 0.0326, 0.2340
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
16.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0512, 0.3215, 0.2799, 1.4208, 0.0479, 0.3005
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
18.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0356, 0.1985, 0.6846, 2.2939, 0.0242, 0.1349
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
20.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0434, 0.2178, 0.4750, 2.7912, 0.0251, 0.1260
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
22.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0705, 0.3213, 1.3183, 4.1608, 0.0429, 0.1957
x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
